Country;Descriptor;AssessmentCriteria;MSFDArticle;Assessment;Conclusions;Criteria;OverallScore;OverallAssessment
Belgium;D1;Adequacy;GES (Article 9);"Belgium has set GES for Descriptor 1 at descriptor and criteria level in both the paper report (Definition of GES and environmental targets for Belgian marine waters) and the reporting sheet. GES is not set at indicator level. The definition at descriptor level reproduces verbatim the definition of Annex I of the MSFD. Belgium has chosen to combine for each criterion different elements which relate to several criteria.

At the criteria level, reference is made to the Habitats and Birds Directive, OSPAR and the WFD (for indicators 1.1 to 1.6) in terms of ‘attaining’ the good conditions these instruments set i.e. the WFD GEcS, the Habitats and Birds Directives favourable conservation status and OSPAR EcoQOs constitute the baseline for GES. The same element also refers to rare and threatened species and habitat types covered in existing legislation and conventions which should be protected at the level envisaged by that legislation or conventions. The reporting sheet and paper report do not specify which are these legal acts and conventions. GES is defined in principle in the same way for all species, functional groups and habitat types.

While the use of these other ‘standards’ is considered as appropriate and relevant for GES definition, it is not clear how they are being applied in the context of the Belgian marine waters. More importantly, one of the elements of GES definition (also applicable to criteria 1.1 to 1.6) establishes that the conditions described in the Initial Assessment is the minimum GES for the extent, distribution and condition of habitat types and constituting species populations. Criterion 1.7 also refers to the Initial Assessment for the maintenance of the different ecosystem components. A degraded state is used as a baseline without any ambition to improve quality towards a reference state (reference conditions). Ecosystem structure is not addressed in much detail. Some functional groups are referred to (key long-lived, slowly reproducing species, top predator species) but not at a detailed level. 

The definition of GES does not include any quantitative thresholds and the references to WFD and OSPAR standards are too vague to constitute measurable threshold values. ";The definition of GES for Descriptor 1 is assessed partially adequate. GES has been defined for all criteria of the Commission Decision. However, there is a lack of detail at the criteria level with very general terms and phrases used which require further definition and detail in terms of how the relevant policies/directives are applied within the context of Belgian waters. The GES definition itself is clear, particularly in relation to each criteria and the corresponding relevant reference (i.e. Directive or convention) but would benefit from more specifics. In addition, a degraded state is used as a baseline.;"- Coverage of all criteria of the Commission Decision for D1 and coverage of all ecosystem components equally
- Lack of detail at criteria level, use of general terms
- Achievement of existing legislation/ agreements as basis for GES
- Use of 2012 initial assessment (degraded state) as baseline with no ambition to improve quality towards a reference state";2;Partially adequate
Belgium;D1;Adequacy;Initial assessment (Article 8);"Biological features:

Species/functional groups
Belgium has reported on three species groups (birds, mammals and fish) and four birds functional groups (offshore benthic, offshore surface, offshore pelagic and offshore scavenger), two mammal functional groups (seals and toothed whales) and one fish functional group (diadromous fish). No justification is provided in the reporting sheets to explain why certain functional groups are not reported. Belgium does not report on individual species in the reporting sheet but information on individual species are included in the assessment of species groups. In the paper report, in addition to providing relatively detailed descriptions of the three species groups mentioned, Belgium provides a description of the species listed under the Birds and Habitats Directive but no mention is made of RSC lists. In the reporting sheet, there is also a mention that Natura 2000 special habitats will be reported under the Birds and Habitats Directive reporting in 2013. It should be noted that Belgium does not use the functional groups to report in its paper report. The correspondence between the classification used by Belgium and the MSFD classification is not clear. 

Little information is provided about the main pressures and human activities causing the pressures on the features reported. While the descriptions in the reporting sheet are rather limited they are a bit more detailed in the paper report, with some quantitative information on group abundance. For mammals and fish, Belgium has assessed the current state in relation to natural conditions (altered). However, there is no clear judgement on the status of birds or mammals in relation to GES, only basic descriptive text. More information is available for fish with a partial judgement on status trends and a qualitative judgement on current status. 

Habitats
The description of habitats in the reporting sheet is fragmented. In relation to the sea bed there is a lack of input for the littoral (intertidal zone) but some input is provided for shallow (i.e. identification of four subtidal communities which are each linked to a specific habitat) and shelf (i.e. gravel beds) habitat types. In relation to the water column, only a general description is provided with almost no input on coastal or shelf waters and there is no justification provided for why this is the case. Geographical descriptions are basic. In addition to reporting on several predominant habitat types (Shallow sublittoral sand, Shallow sublittoral mud, Shelf sublittoral coarse sediment, Shelf sublittoral mixed sediment, coastal and shelf) marine water Belgium has also reported on four additional habitats: H1110 and H1170 from the Habitats Directive and peatzones and artificial hard substrates, which are listed by Belgium as part of the MSFD classification of predominant habitats although this is not the case. 

In the paper report, Belgium uses the habitat types and EUNIS level 3 classifications and it is not always clear on how to translate this into the MSFD classification. It is also difficult to distinguish shallow and shelf. This classification shows less detail than the MSFD one and does not have a one to one relationship to the ecologically-meaningful habitat types but is commonly used by surrounding MS's. In the paper report, Belgium also provides a separate description of seabed and water column habitat types and seabed and water column’s biological characteristics, where benthic communities and planktons are described. While benthic communities are reported in the reporting sheet under various predominant habitats, plankton is not at all reported in the reporting sheet.  

For each habitat/habitat type reported in the reporting sheet, a limited description has been provided of the habitat distribution (often providing correspondence to the relevant EUNIS classification), extent and condition. For certain habitat types, the information provided is quantitative. Sometimes the same information is reported under different predominant habitat types (e.g. shelf and shallow sand) and it is also mentioned that certain predominant habitats are the same as habitats listed under the Habitats Directive. The correspondence between EUNIS classification, individual habitat types and MSFD predominant habitat types is not clearly presented.  

The main pressure and impacts on the habitat types have been provided. No qualitative judgement has been made on the current status of the habitat types in relation to GES apart from the status of artificial hard substrates, which is described in a lot of details but should actually be rather considered as a description than a judgement on status. The same applies to the assessment of status of the H1170 habitat which is actually the description of the habitat distribution. However, a judgement is made on the trend in status for H1170 (declining) and artificial hard substrate (improving).

Ecosystems
Belgium has not reported at the ecosystem level. ";Overall the initial assessment carried out by Belgium in relation to the biological features is partially adequate. The assessment covers most habitat types and the main relevant species groups. However, judgements on the current status of habitats and species groups are only made in some cases and the main pressures on the features are not well described. There is no justification why certain species groups (e.g. cephalopods) or certain functional groups (e.g. pelagic or demersal fish) have not been included in the assessment. A description of the species listed under the Birds and Habitats Directive is provided.;"Features:
- Covers most habitat types and the main relevant species groups 
- Limited description of pressures
- Judgements are only provided in some cases";2;Partially adequate
Belgium;D1;Adequacy;Targets (Article 10);"Belgium has set 17 targets each accompanied with an associated indicator to cover the three biodiversity descriptors. The targets set by Belgium cover almost all criteria for D1, 4 and 6 of the Commission Decision. The only criteria not covered are 4.1 (productivity of key species or trophic groups) and 4.2 (proportion of selected species using at the top of the food webs), meaning that the targets cover food webs only partially.

The targets cover seabirds, with specific species mentioned that are included under the scope of the Birds Directive, molluscs, benthic fauna and flora, elasmobranch and mammals. For the last two categories, Belgium has selected one indicator species representative of the group (the Raja clavata ray for elasmobranch and the Phocoena phocoena harbour porpoise for the mammals). Fish are not covered by the Belgian targets for biodiversity. Commercial stocks are covered by the targets for Descriptor 3 but other non-commercial stocks are therefore not covered. For the habitats, Belgium is using the EUNIS 3 classification rather than the MSFD predominant habitat type classification, covering mud, sand, coarse grained sediment and gravel beds. 

Baseline values for environmental targets refer either to OSPAR EcoQO's, a time reference, the WFD. A number of targets are set for the main species groups and habitat types. For a large number, as the baseline is the state in 2012, it is mentioned that the baseline is still to be calculated/determined. On the whole, the targets are SMART and in some cases quite detailed to species level. 

Many targets relate to trends but there is no specification of a threshold value or at least a quantitative trend in relation to the baseline (e.g. decrease by X%).  

Only a limited number of targets refer to pressures and they are focused on disturbances to seafloor habitats from contact with fishing gear and promotion of alternative, environment-friendly fishing gear.";On the whole, the set of targets and indicators defined by Belgium to cover descriptors 1 and 6 are considered as adequate while the targets for descriptor 4 are considered partially adequate. The targets are specific, measurable, realistic and time-bound. In particular, they address the main species groups although only a single species of fish (raja clavata) is covered, and some of the main habitat types. In some ways, the targets appear more detailed than the initial assessment. The targets for descriptors 1 and 6 are ambitious and will aid reaching or maintaining GES if achieved in the timescale given.  In the case of descriptor 4 the targets do not cover the concept of productivity, set a target for large fish and do not address all the main components of the food web. It should also be noted that the set of targets do not address specifically all relevant pressures, which may be a more pragmatic approach. ;"- The targets and indicators defined for biodiversity cover all three Descriptors (1, 4 and 6)
- Most of them are SMART as they include specific threshold values
- They cover the main biodiversity components except non-commercial fish
- They are ambitious and would allow to reach GES if achieved
- Lack of pressure targets";3;Adequate
Belgium;D1;Consistency ;;"Belgium has taken an approach to GES definition whereby different elements which relate to several criteria/indicator are combined to define one condition. The accompanying assessment does not follow this same approach and therefore does not include a judgement on the status of the features reported in relation to their GES definition. It is also difficult to assess whether the set of environmental targets and associate indicators defined for Descriptors 1, 4 and 6 collectively address all the main pressures and impacts related to these descriptors as identified by the initial assessment, due to the nature of the targets set. Species related targets do not relate directly back to the pressure. With regard to habitat related targets, only fishing pressure are mentioned.

While the targets are quite specific in addressing population trends and habitat disturbance, given that GES definitions are very broad, it is uncertain whether the targets will be sufficient to achieve GES. ";;;;
Belgium;D10;Adequacy;GES (Article 9);"Belgium has defined GES for Descriptor 10 at descriptor and criteria level. All criteria laid out for Descriptor 10 in the Commission Decision are incorporated, but not the indicators.  The GES definition at descriptor level cites the definition in the Decision. The two criteria, even though the numbering is inverted, reflect closely the criteria set in the Commission Decision. 

The criteria aim to reduce the amount of litter and the impact of marine litter on respectively marine life and habitats (10.1) and on the coastal and marine environment (10.2). Yet, it is unclear how Belgium aims to achieve a reduction in the amount of litter and whether they will address new waste entering the marine environment and/or the existing waste in the marine environment. 

The main features addressed by GES are listed in the reporting sheets, which also refer to the initial assessment as the baseline for threshold values. However, threshold values have not been set in either the paper report or the reporting sheets. A reference is made to OSPAR common language in the paper report.";"The GES definition of Belgium for D10 is assessed as inadequate. The definition of GES at descriptor level is a mere copy or reformulation of the MSFD; at criteria level it reflects closely the 2010 Commission Decision. However, it is not clear whether GES refers to new and/or existing waste and no threshold values have been set.";"- GES definition at descriptor level is mere reproduction of Annex I MSFD
- Definition at criteria level following the Commission Decision
- Unclear whether GES refers to new and/or existing waste
- No threshold value set";1;Inadequate
Belgium;D10;Adequacy;Initial assessment (Article 8);"Belgium has carried out an initial assessment on marine litter – both qualitatively and quantitatively. It refers to the level of pressures on the coast, the water column and seabed, providing figures and trends. In relation to impacts, Belgium describes the impact of litter on marine animals, but not in the water column or on the seabed habitats. There is also no mention to micro-particles.

Belgium reports substantial data from the OSPAR initiatives for beach litter monitoring and the OSPAR EcoQO target on the ingestion of plastic by Fulmars. During 2002-2006, in average 1000 items/ km beach were found.  The main items found on the beach are fishing nets, plastic packaging, fireworks and cigarette butts. Based on a Dutch study from 2003, the target on litter in fulmar stomachs is exceeded. Belgium reports on collected waste in the Fishing for Litter project (until 2011) and Waste-free Ocean (from 2011 onwards). It is indicated that the main sources for marine litter are shipping, fisheries, but also tourism and cargo loss. Although there is no assessment of the habitats impacted, these are listed in the reporting sheets. 

There is no judgement on the level of pressure and impacts per reference to the definition of GES, however, the impact of litter on marine animals is considered to exceed the OSPAR target levels.";The initial assessment of Belgium for marine litter is assessed as adequate. Even if the impact of marine litter on the different habitats has not been assessed, it is considered that the information available is well-presented and covers all the relevant pressures. ;"- Adequate qualitative and quantitative assessment
- All relevant sources covered
- Reference to OSPAR studies
- Lack of assessment of impacts";3;Adequate
Belgium;D10;Adequacy;Targets (Article 10);"Belgium reported four targets, each associated with one indicator. Targets are identified in accordance to the indicators of the criteria in the Decision. 

A consistent and measurable set of targets is presented, addressing, the quantities of stranded litter, quantities of litter collected at sea and the number of visible litter items on coastlines. The targets are based on OSPAR initiatives, namely the beach litter monitoring programme, OSPAR recommendation 2010/19 (collection of beach litter at sea)) and the EcoQO target on the ingestion of plastic by Fulmars. 

The baseline has been identified by means of data from the IA and OSPAR. Threshold values have not been set, except for the already established Fulmar target. Without a quantitative target, it is difficult to judge on the level of ambition. In addition, targets have not been identified to address pressures (sources) of marine litter, despite the statement on the reduction of the amount of litter in the GES definition. ";The set of environmental targets and associated indicators defined by Belgium for D10 is assessed as partially adequate. The targets are consistent and measurable. However no thresholds are provided and therefore it is difficult to assess the level of ambition. There are also no targets addressing pressures but just impacts.;"- Potentially measurable targets
- Lack of threshold values but baseline defined
- Targets only address impacts and not pressures";2;Partially adequate
Belgium;D10;Consistency ;;"Consistent use and reference is made to OSPAR methodologies and data, in the GES definition, the IA and the targets. The IA and targets consistently focus on beach litter, litter collected at sea and plastics ingested by Fulmars, however, other aspects of the marine and coastal environment are not covered. 

The GES definition aims to reduce the amount of litter such that it does not cause damage/harm to marine life and habitats, and the marine and coastal environment. There are no targets that can reduce the amount of litter, except for the implicit clean-up of existing waste linked to beach litter monitoring and collection litter at sea. The main sources of marine litter are reported in the initial assessment, but not further addressed in the GES definition nor in the set of targets.";;;;
Belgium;D11;Adequacy;GES (Article 9);"Belgium has defined GES for Descriptor 11 at descriptor and criteria level. The GES definition at descriptor level is cited from the Directive. The criteria are different than those included in the Decision. In the reporting sheets, criterion 11.2 is not included and instead criterion 11.1 is duplicated.

Since the GES definitions for both criteria level lump impulsive and continuous sound together, it is unclear what the distinction is between both criteria. The criteria aim to achieve levels of sound that do not adversely impact respectively marine organisms (criterion 11.1) and marine ecosystems (criterion 11.2). Hereby, it is assumed that sound budgets refer to continuous, ambient sound rather than to impulsive sounds. Argumentation is not given on why the proposed set of criteria is considered better than the criteria proposed in the Decision. 

OSPAR is mentioned, but without clear reference to relevant documents such as e.g. the background document on noise or the JAMP assessment.";The GES definition of Belgium for D11 is assessed as partially adequate. The definition of GES at descriptor level is based on the definition of Annex I MSFD and it is further specified through the definition at the criteria level. However, there is no explanation to why different criteria have been used and the distinction between impulsive sound and continuous sound is missing. ;"- GES definition at descriptor level is based on Annex I MSFD
- GES also defined at criteria level but different criteria used
- No justification for not using the Commission Decision criteria
- No distinction between impulsive and continuous sound";2;Partially adequate
Belgium;D11;Adequacy;Initial assessment (Article 8);Data of underwater noise in the Belgian marine waters and its possible impact on underwater species are limited at present. A distinction is not made between impulsive and continuous sound. Monitoring and further scientific studies in the scope of the Marine Strategy therefore are necessary. Renewable energy and shipping are identified as the largest contributors to the noise pressure. Yet, few details on the magnitude of the pressures are reported. A distinction is not made between the impulsive and continuous sound and there is not any reference to OSPAR.;The initial assessment of Belgium for underwater noise is assessed as inadequate. There is currently very little information on underwater noise in Belgium, basically only the sources of noise are listed.;"- Limited data on underwater noise in Belgian waters
- Some sources identified as main pressures but limited information provided
- No distinction made of impulsive and continuous sounds
- No reference to OSPAR";1;Inadequate
