ScientificName
Ablennes hians
Abudefduf hoefleri
Abudefduf saxatilis
Abudefduf sexfasciatus
Abudefduf vaigiensis
Acanthaster planci
Acanthopagrus bifasciatus
Acanthurus chirurgus
Acanthurus coeruleus
Acanthurus gahhm
Acanthurus monroviae
Acanthurus sohal
Acipenser gueldenstaedtii
Acipenser ruthenus
Acipenser stellatus
Acrochaetium catenulatum
Acrothamnion preissii
Acrothrix gracilis
Actaeodes tomentosus
Acteocina crithodes
Acteocina mucronata
Actumnus globulus
Adelosina carinatastriata
Aequorea globosa
Aerococcus viridans
Aetea ligulata
Aetea longicollis
Afrocardium richardi
Afropinnotheres monodi
Agardhiella subulata
Agetus flaccus
Agetus typicus
Aglaothamnion cordatum
Aglaothamnion feldmanniae
Aglaothamnion halliae
Agonus cataphractus
Ahnfeltiopsis flabelliformis
Akashiwo sanguinea
Alepes djedaba
Alexandrium affine
Alexandrium leei
Alexandrium margalefii
Alexandrium minutum
Alexandrium ostenfeldii
Alexandrium pseudogonyaulax
Alexandrium tamarense
Aliculastrum cylindricum
Alitta succinea
Alitta virens
Alkmaria romijni
Alloeocarpa loculosa
Allolepidapedon fistulariae
Alpheus dentipes
Alpheus lobidens
Alpheus rapacida
Aluterus monoceros
Aluterus scriptus
Amathia gracilis
Amathia imbricata
Amathia verticillata
Ammothea hilgendorfi
Ampelisca cavicoxa
Ampelisca heterodactyla
Amphibalanus amphitrite
Amphibalanus eburneus
Amphibalanus improvisus
Amphibalanus reticulatus
Amphibalanus variegatus
Amphiglena mediterranea
Amphinome rostrata
Amphistegina lobifera
Ampithoe bizseli
Ampithoe valida
Anadara kagoshimensis
Anadara transversa
Anguillicola crassus
Anomia chinensis
Anomia ephippium
Anoplodactylus californicus
Anotrichium furcellatum
Anteaeolidiella lurana
Antiopella cristata
Antithamnion amphigeneum
Antithamnion densum
Antithamnion diminuatum
Antithamnion hubbsii
Antithamnion nipponicum
Antithamnionella elegans
Antithamnionella spirographidis
Antithamnionella ternifolia
Aoroides curvipes
Aoroides longimerus
