MS;Region;Article ;Descriptor;Assessment criteria;Assessment;Summary;Score ;Conclusion;Source file
BE;ATL;13;D1-B;Coverage of pressures;"Belgium’s PoM addresses the pressures of selective extraction of species, including accidental by-catch of birds through the reported measures, covering a ban on gill nets and tangling nets (measure 11), and other fisheries management measures (23A). The pressure of pollution generated by dangerous substances will be addressed by two measures (23A, 26A), one of which aims to reduce pollution originating from shipping and oil pollution, in particular (26A). Furthermore, light and noise pollution from high speed air traffic and marine sport competitions will be regulated in SPAs. 

At a regional level, Belgium links measures 23A and 26A to actions undertaken in the context of OSPAR for D1, 4 Birds.";The reported groups of measures address the main pressures, i.e. by-catch, injuries caused by fishing activities, contamination from oil, and chemical spills originating from shipping and fishing vessels. ;3;Addressed;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-B;Coverage of GES and targets;"Belgium has not defined species-specific GES but, rather, a general overarching GES, which addresses most species groups. The Belgian GES refers to species distribution, population size, population condition, habitat distribution, habitat extent, habitat condition and ecosystem structure, which can be applicable to birds, in addition to conditions of benthic community, which represents some of the bird food sources and is therefore linked to birds. The Belgian determination of GES states that all bird species protected under the Birds Directive shall achieve FCS under the Birds Directive. Even though Belgium addresses some of the pressures on seabirds through its measures, it is unclear if the measures will sufficiently support the achievement of FCS for the relevant species and address aspects such as population size, species distribution, habitat conditions, etc. Nor are the measures likely to address the general GES criteria of ecosystem structure, linked to D4 Food webs. Belgium specifies one group of bird species within the context of by-catch reduction, the Grebes (order Podicipedidae), with the common murre (Uria aalge) mentioned in relation to reducing oil pollution for birds. No other species have been specified. Also, it is unclear how the Belgian PoM intends to achieve diversity within bird species. The PoM thus can partially support the achievement of GES.

Belgium’s bird targets relate to seabird breeding abundance (target 1), mean species density of non-scavenging species (target 2), mean species density of scavenging species (target 3) and the mean species density for scavenging species as defined by the Birds Directive (targets 4 and 17). The reported PoM is likely to partially address these by aiming to reduce bird deaths and injuries through by-catch and pollution from ships. However, other human factors impacting on the population size of birds are not addressed, such as damage and disturbance to nesting sites and the impairment of suitable food sources. Despite Belgium’s defined targets for specific bird species, these are not specifically mentioned in the PoM. As explained for GES, the common murre (Uria aalge) and birds of the genus Grebes (order Podicipedidae) are mentioned in relation to reducing oil pollution for birds. Therefore, it is not possible to assess if the species defined by the targets are addressed by the measures, making them partially capable of addressing bird targets.  ";"It is unclear if the measures will sufficiently support the achievement of FCS for the relevant species and address their diverse relevant aspects, including population size, species distribution and habitat conditions. The GES criteria linked to D4 Food webs with respect to ecosystem structure will likely not be addressed by the measures. The relevant targets are partially addressed, as the PoM will support the reduction of deaths and impairments through by-catch and sea-based pollution; however, the PoM does not address damage or disturbances to nesting sites and impairment of suitable bird food sources. It might not, therefore, address the population size of birds. 
";2;Partially addressed;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-B;Timelines;"Timeline to achieve GES
Belgium states that ‘all proposed additional measures are considered as valid and useful measures to contribute to the achievement of good environmental status by 2020’.

Timeline for implementation of the PoM
Belgium reports a number of existing measures. Most new measures will be implemented in 2016 (23A, 24, 25A, 26B, 26C, 32), with the exception of measures 25B and 26A, which will be implemented in 2017 and 2019 respectively.";The Member State reports that GES will be achieved by 2020. Most new measures are in place by 2016, and two new measures will be implemented by 2017 and 2019. The timelines are appropriate. ;3;Appropriate;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;14;D1-B;Exceptions;Belgium does not apply exceptions for D1-B. ;"Belgium does not apply any exceptions for D1-B.
";na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-F;Coverage of pressures;"Several of Belgium’s measures aim to address the impacts of fisheries extraction, such as selective species extraction, by-catch and discards (measures 8, 23, 26A). Measure 32 specifically refers to shark and ray species. Belgium also identifies pollution as a pressure generated by dangerous substances and originating from shipping, which will be addressed by a measure on shipping bans in MPAs (measure 23). Finally, the pressure of abrasion, caused by destructive fishing methods, is also addressed through its PoM (measure 23). 

At a regional level, Belgium links its measures 23A and 26A to actions undertaken in the context of OSPAR for D1, 4 Fish.";The reported measures cover impacts from fishing activities, such as selective species extraction, by-catch and discards. Pollution from shipping and fishing vessels are also addressed. It is nevertheless not clear if cephalopods are addressed through any measures.;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-F;Coverage of GES and targets;"The same generally defined Belgian GES as presented for birds above is also applicable to fish, covering general criteria such as species distribution, population size, population condition and ecosystem structure. Cephalopods are not mentioned in the PoM of Belgium. The measures reported by Belgium for fish do not address all GES components, making it likely that the PoM partially supports the achievement of GES. Only aspects such as discards, by-catch, and selective species extraction are covered, in addition to pollution from shipping. Despite their inclusion in GES, no measures have been reported in respect of population size, species distribution or ecosystem structure. 

One target refers fish, target 6, which aims to achieve a positive trend in the number of individuals of the thornback ray (Raja clavata). Belgium reported one measure addressing sustainable management, reinforcing fishing bans for sharks and rays, and the introduction of a fishing ban on some species. It states that target 6 will be addressed by the measure. ";The measures reported by Belgium address by-catch and discards, but do not address GES components such as population size and species distribution. Also, the GES criteria linked to D4 Food webs with respect to ecosystem structure will likely not be addressed through the measures. The measures address the target of having a positive trend in the number of individuals of the thornback ray (Raja clavata).;2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-F;Timelines;"Timeline to achieve GES
Belgium states that ‘all proposed additional measures are considered as valid and useful measures to contribute to the achievement of good environmental status by 2020’.

Timeline for implementation of the PoM
Belgium reports a number of existing measures. Most new measures will be implemented in 2016 (23A, 24, 25A, 26B, 26C, 32), with the exception of measures 25B and 26A, which will be implemented in 2017 and 2019 respectively.";The Member State reports that GES will be achieved by 2020. Most new measures are in place by 2016, and two new measures will be implemented by 2017 and 2019. The timelines are appropriate;3;Appropriate ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;14;D1-F;Exceptions;Belgium does not apply exceptions for D1-F. ;Belgium does not apply exceptions for D1-F. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-M;Coverage of pressures;"With respect to the pressures assessment for mammals, Belgium reported measures that address by-catch resulting from the use of tangling and gill nets (measure 11A, 11B, 11C, 24). Belgium banned the use of these nets for coastal fishing from beaches, and also obliged fishermen to release entangled species unharmed and to report any entanglement when fishing from vessels. Nevertheless, Belgium does not report measures that will specifically address loss of mammal habitats, or impacts through shipping, including underwater noise. Hence pressures are partially addressed for mammals 

At a regional level, Belgium reports linking its PoM to actions undertaken in the context of OSPAR through measure 24. ";The reported groups of measures partially address the main pressure of incidental by-catch from fisheries, including the ban on tangling and gill-net fishing in shallow-water areas. However, pressures from shipping, such as underwater noise, and impacts on mammal habitats are not covered by Belgium.;2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-M;Coverage of GES and targets;"The general Belgian GES definition includes the criteria species distribution, population size, population condition and ecosystem structure, which also applies to mammals. Even though the PoM will address aspects of the GES definition by aiming to reduce by-catch of marine mammals in fishing nets, it will be insufficient to address all GES criteria defined by Belgium. It is unlikely that by-catch measures alone will be sufficient to achieve GES, including the GES criteria ecosystem structure, making the PoM partially addressing GES for mammals. 

Target 5 sets out that the yearly number of incidentally by-caught harbour porpoises (Phocoena phocoena) should be less than 1.7 % of the best estimate of the population size. Belgium addresses marine mammal by-catch through its PoM measures 11A-C and 24, making particular mention of reduction in the by-catch of harbour porpoises (Phocoena phocoena). The target is thus addressed by the measures. ";"The PoM will address aspects of the GES definition linked to reducing incidental by-catch of marine mammals in fishing nets. However, the coverage of this aspect will be insufficient to address GES criteria such as species distribution, population size, population condition and ecosystem structure (with the latter linked to D4 Food webs). The measures are likely to allow for a reduction of the numbers of yearly incidentally by-caught harbour porpoises (Phocoena phocoena;) as set out in the target.";2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
