MS;Region;Article ;Descriptor;Assessment criteria;Summary;Score ;Conclusion
BE;ATL;13 and 14;D2;Overall coverage of needs to progress towards GES;"PoM partially addresses MSFD needs to progress towards GES: Most pressures and targets are addressed. Aquaculture is not addressed by the reported measures; neither is part of the GES definition, which focuses on not significantly increasing the relative abundance of existing NIS. Belgium expects to achieve GES by 2020.";2;Partially addressed
BE;ATL;13 and 14;D3;;PoM partially addresses MSFD needs to progress towards GES. Aquaculture, a pressure reported by the Member State, is not addressed. Belgium reports that all proposed measures will contribute to achieve GES by 2020.;;
BE;ATL;13 and 14;D5;;PoM partially addresses MSFD need to progress towards GES. PoM covers all pressures reported in Article 8 and all target definitions. However, the measures partially cover the reported activities (no measure on agriculture/forestry) and the GES definition. Belgium reports that all proposed measures will contribute to achieve GES by 2020. This is provided that the relevant measures are assessed as adequate under the WFD. These results are pending the WFD assessment.;;
BE;ATL;13 and 14;D7;;No measures are reported specifically for hydrographical changes (D7). Nevertheless, Belgium reports a WFD measure under KTM06 that may address D7 in the coast (where most hydrographical changes occur), although, given the level of detail reported, this cannot be verified.;;
BE;ATL;13 and 14;D8;;PoM addresses MSFD need to progress towards GES. PoM addresses the pressures and activities reported by Belgium in its Article 8, as well as its GES and targets. Belgium reports that GES will be achieved by 2020.;;
BE;ATL;13 and 14;D9;;PoM partially addresses MSFD need to progress towards GES. The PoM will mainly have indirect effects on the relevant D9 pressure (introduction of hazardous compounds), and is thus not fully addressing all pressures. Furthermore, as none of the measures is D9 specific, it is not clear how they can address the D9 targets. The D8 PoM partially addresses the D9 pressure and several associated activities. Belgium reports GES will be achieved by 2020.;;
BE;ATL;13 and 14;D10;;PoM partially addresses MSFD need to progress towards GES. PoM addresses the reported pressures and activities, GES and targets. Micro-litter is indirectly addressed by the measures. Belgium reports that GES will be achieved by 2020.;;
BE;ATL;13 and 14;D11;;PoM partially addresses MSFD need to progress towards GES. PoM directly addresses underwater noise, by focusing on one of the reported activities (marine-based renewable energy production). The GES definition and one of the targets are also covered. Still, the measures indirectly address shipping (reported in Article 8) through a measure that focuses on communication and awareness raising, and marine research, reported as relevant at the subregional level, is not covered. It is also not clear how the other target is addressed. Belgium reports that GES will be achieved by 2020.;;
BE;ATL;13 and 14;D1, 4 – Birds;;"PoM partially addresses MSFD need to progress towards GES. The PoM addresses the relevant pressures, including by-catch; however, it is unclear if the measures will be sufficient to achieve a favourable conservation status for birds and targets linked to nesting sites and bird food sources are not covered by the PoM. Nevertheless, Belgium reports that GES will be achieved by 2020.";;
BE;ATL;13 and 14;D1, 4 – Fish;;"PoM partially addresses MSFD need to progress towards GES. Pressures such as extraction of species by fishing and pollution from ships are addressed; however, targets linked to numbers of thornback rays are not covered by the PoM. Nevertheless, Belgium reports that GES will be achieved by 2020.";;
BE;ATL;13 and 14;D1, 4 Mammals;;PoM partially addresses MSFD need to progress towards GES. By-catch is addressed but pressures from shipping, including underwater noise, are not covered for mammals. Furthermore, general GES components, such as ecosystem structure will not be addressed. Belgium reports that GES will be achieved by 2020.;;
BE;ATL;13 and 14;D1, 4 - Water column habitats;;PoM partially addresses MSFD need to progress towards GES. No measures are reported specifically for water column habitats and no justification is provided. Nevertheless, D2, D5 and D8 measures will contribute to reducing pressures on water column habitats. These are described and assessed in the relevant sections of this report (4.2, 4.4 and 4.6).;;
BE;ATL;13 and 14;D1, 4, 6 – Seabed habitats;;PoM partially addresses MSFD need to progress towards GES. The PoM addresses physical loss and damage as well as pollution from shipping and selective extraction of gravel. Yet some pressures are not addressed. The PoM also addresses the GES and targets though a variety of spatial protection measures and measures that aim to regulate seabed impacting activities. GES is expected to be achieved by 2020.;;
