Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/BE/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;BE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BE/Rec02;GES and targets definitions should be better addressed for NIS (D2), eutrophication (D5), hydrographical changes (D7), contaminants in seafood (D9), marine litter (D10), underwater noise and energy (D11), birds, fish and mammals and water column habitats (D1, 4).;BE;D2, D5, D7, D9, D10, D11, D1-B, D1-F, D1-M, D1-P;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;These two are descriptor specific
Art13/2016/BE/Rec03;The Member State should establish more links with existing EU policies and international instruments for the biodiversity descriptors, contaminant in seafood (D9) and underwater noise and energy (D11). ;BE;D9, D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;These two are descriptor specific
Art13/2016/BE/Rec04;The Member State should provide more information about its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs).;BE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BE/Rec05;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;BE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BE/Rec06;The Member State should define the spatial scope of its measures (both existing and new) in detail. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, where relevant pressures are present. The Member State should consider establishing additional measures beyond spatial protection efforts to address species and habitats. It is important that pressures are addressed across all marine waters.;BE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BE/Rec07;The Member State should make better links between the groups of measures reported for pressure descriptors and their effects on the state descriptors. This would allow a comprehensive view of the impact of measures affecting all descriptors. ;BE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BE/Rec08;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;BE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BE/Rec09;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;BE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BE/Rec10;The Member State should cover aquaculture (reported under Article 8 as a relevant source of pressure).;BE;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
