Country,Status of the marine environment,Status of marine species and habitats,"Ecological and chemical status of transitional, coastal and territorial waters",Status of bathing waters in transitional and coastal sites
BE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Belgium,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=BE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Belgium,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Belgium
BG,Bulgaria hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=BG,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Bulgaria,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Bulgaria
CY,Cyprus hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=CY,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Cyprus,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Cyprus
DE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Germany,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=DE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Germany,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Germany
DK,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Denmark,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=DK,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Denmark,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Denmark
EE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Estonia,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=EE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Estonia,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Estonia
EL,Greece hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=EL,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Greece,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Greece
ES,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Spain,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=ES,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Spain,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Spain
FI,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Finland,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=FI,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Finland,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Finland
FR,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=France,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=FR,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=France,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=France
HR,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Croatia,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=HR,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Croatia,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Croatia
IE,Ireland hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=IE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Ireland,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Ireland
IT,Italy hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=IT,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Italy,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Italy
LT,Lithuania hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=LT,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Lithuania,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Lithuania
LV,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Latvia,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=LV,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Latvia,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Latvia
MT,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Malta,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=MT,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Malta,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Malta
NL,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Netherlands,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=NL,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Netherlands,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Netherlands
PL,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Poland,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=PL,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Poland,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Poland
PT,Portugal hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=PT,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Portugal,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Portugal
RO,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Romania,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=RO,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Romania,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Romania
SE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/GESassessments_CountryProfiles/CountryProfiles?Country=Sweden,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=SE,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Sweden,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Sweden
SI,Slovenia hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=SI,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=Slovenia,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=Slovenia
UK,United Kingdom hasn´t yet reported under the MSFD 2018 electronic reporting exercise.,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/NatureDirectives_Marine_status_Pie/Pie?Country_param=UK,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/WISE_SOW_Status_Marine_Country_profile/SWB_Status_Category_Country?P_Country=UK,https://tableau.discomap.eea.europa.eu/t/Wateronline/views/BathingWaterQuality_Marine_Country_profile/Country?P_Country=UK
