Country,Link to MSP Country Profiles
BE,https://www.msp-platform.eu/countries/belgium
BG,https://www.msp-platform.eu/countries/bulgaria
CY,https://www.msp-platform.eu/countries/cyprus
DE,https://www.msp-platform.eu/countries/germany
DK,https://www.msp-platform.eu/countries/denmark
EE,https://www.msp-platform.eu/countries/estonia
EL,https://www.msp-platform.eu/countries/greece
ES,https://www.msp-platform.eu/countries/spain
FI,https://www.msp-platform.eu/countries/finland
FR,https://www.msp-platform.eu/countries/france
HR,https://www.msp-platform.eu/countries/croatia
IE,https://www.msp-platform.eu/countries/ireland
IT,https://www.msp-platform.eu/countries/italy
LT,https://www.msp-platform.eu/countries/lithuania
LV,https://www.msp-platform.eu/countries/latvia
MT,https://www.msp-platform.eu/countries/malta
NL,https://www.msp-platform.eu/countries/netherlands
PL,https://www.msp-platform.eu/countries/poland
PT,https://www.msp-platform.eu/countries/portugal
RO,https://www.msp-platform.eu/countries/romania
SE,https://www.msp-platform.eu/countries/sweden
SI,https://www.msp-platform.eu/countries/slovenia
UK,https://www.msp-platform.eu/countries/united-kingdom
