Country,Marine_region,Area_km2
BE,Greater North Sea,3457.68
BG,Black Sea,35139.1
CY,Aegean-Levantine Sea,98040.1
DE,Baltic Sea,15505.3
DE,Greater North Sea,40464.7
DK,Baltic Sea,46253.5
DK,Greater North Sea,76561.1
EE,Baltic Sea,36608.8
EL,Adriatic Sea,2252.71
EL,Aegean-Levantine Sea,304198.1
EL,Ionian Sea and Central Mediterranean Sea,182068.6
ES,Bay of Biscay & Iberian Coast,326861
ES,Macaronesia,485048
ES,Western Mediterranean Sea,256555
FI,Baltic Sea,82465.8
FR,Bay of Biscay & Iberian Coast,188487
FR,Celtic Seas,43333
FR,Greater North Sea,28291
FR,Western Mediterranean Sea,110635
HR,Adriatic Sea,55492.3
IE,Celtic Seas,488764.3
IT,Adriatic Sea,62142.2
IT,Ionian Sea and Central Mediterranean Sea,214475
IT,Western Mediterranean Sea,310538
LT,Baltic Sea,6437.18
LV,Baltic Sea,28348.2
MT,Ionian Sea and Central Mediterranean Sea,75715.4
NL,Greater North Sea,58846.9
PL,Baltic Sea,33141.6
PT,Bay of Biscay & Iberian Coast,315220
PT,Macaronesia,3761810
RO,Black Sea,29560.3
SE,Baltic Sea,141422
SE,Greater North Sea,14202.6
SI,Adriatic Sea,214.096
UK,Celtic Seas,606405
UK,Greater North Sea,263802
UK,Western Mediterranean Sea,86.0647
