"MeasureCode","Sector","Use or activity","Region","Country_code","Country","Season","Measure Impacts to","Feature code","Feature name","Sub-unit","Water body","Pressure code","Pressure name","Pressure type","Pressure location","Ranking","Measure code","Measure name","Measure type recommended to address E02 and/or E03","measure purpose","Measure location","Measure response","Measure status","Origin of the measure","Nature of the measure","Spatial scope","Measure additional info","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"BD01","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CG09","Other measures to reduce impacts from marine aquaculture infrastructures and operation",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,1,1,0,1,1,0,0,
"BD02","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CG09","Other measures to reduce impacts from marine aquaculture infrastructures and operation",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,1,1,0,1,1,0,0,
"BD03","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CC01","Adapt/manage extraction of non-energy resources",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD04","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CC01","Adapt/manage extraction of non-energy resources",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD05","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,1,
"BD06","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,1,
"BD07","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CC12","Reduce/eliminate noise, light, thermal and other forms of pollution related to resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,1,
"BD08","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CC12","Reduce/eliminate noise, light, thermal and other forms of pollution related to resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,1,
"BD09","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,1,0,0,0,0,0,0,0,0,
"BD10","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,1,0,0,0,0,0,0,0,0,
