"MeasureCode","Sector","Use or activity","Region","Country_code","Country","Measure Impacts to","Feature code","Feature Name","Water body category","Pressure code","Pressure name","Pressure type","Pressure location","Ranking","Measure code","Measure name","Measure type recommended to address E02 and/or E03","Measure purpose","Measure location","Measure response","Status","Origin of the measure","Nature of the measure","Spatial scope","Measure additional info","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"HDH01","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"M","CC01","Adapt/manage extraction of non-energy resources",0,"restore","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,0,0,0,1,1,0,0,0,0,3
"HDH02","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"M","CE04","Manage/reduce/eliminate marine pollution from transport",0,"restore","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,0,0,0,1,0,1,1,0,0,4
"HDH03","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"M","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"restore","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,1,0,0,1,0,0,0,0,0,3
"HDH04","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"M","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"restore","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,1,0,0,1,0,0,0,0,0,3
"HDH05","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CC01","Adapt/manage extraction of non-energy resources",0,"restore","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,0,0,0,1,1,0,0,0,0,3
"HDH06","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CE04","Manage/reduce/eliminate marine pollution from transport",0,"restore","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,0,0,0,1,0,1,1,0,0,4
"HDH07","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"restore","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,1,0,0,1,0,0,0,0,0,3
"HDH08","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"restore","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,1,0,0,1,0,0,0,0,0,3
"HDH09","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"H","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH10","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE06","Habitat restoration of areas impacted by transport",1,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
