"MeasureCode","Sector","Use or activity","Region","Country_code","Country","Measure Impacts to","Feature code","Feature name","Water body","Pressure code","Pressure name","Pressure type","Pressure location","Ranking","Measure code","Measure name","Measure type recommended to address E02 and/or E03","measure purpose","Measure location","Measure response","Status","Origin of the measure","Nature of the measure","Spatial scope","Measure additional info","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"HDSP01","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG09","Other measures to reduce impacts from marine aquaculture infrastructures and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,1,1,0,1,1,0,0,5
"HDSP02","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CC12","Reduce/eliminate noise, light, thermal and other forms of pollution related to resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP03","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP04","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,1,0,0,0,0,0,0,0,0,2
"HDSP05","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,1,0,0,0,0,0,0,0,0,2
"HDSP06","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP07","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,1,0,0,0,0,0,0,0,0,2
"HDSP08","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG09","Other measures to reduce impacts from marine aquaculture infrastructures and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,1,1,0,1,1,0,0,5
"HDSP09","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,1,0,0,0,0,0,0,0,0,2
"HDSP10","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CC12","Reduce/eliminate noise, light, thermal and other forms of pollution related to resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
