CodeCatalogue,Sector,Use or activity,Measure name,Status,Origin of the measure,Nature of the measure,Water body category,Spatial scope,Country,Measure Impacts to,Measure Impacts to (further details) ,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11
WFD01,Traffic,Navigation dredging,"Monitoring, assessment and information before, during and after project
No dredging in specific periods:
seasonal or tidal restrictions 
No dredging of heavily contaminated sediments 
Environment impact assessment Selection of dredging equipment 
Dredging Management Plans",not specified,WFD (Directive 2000/60/EC),legislation/regulation,Coastal,National,Portugal,Habitats,,1,0,0,0,0,1,1,1,0,0,0
WFD02,Ports ,Port and harbour infrastructure,Sand bypassing: redistribution of sand built along the jetty,not specified,WFD (Directive 2000/60/EC),technical measure,Coastal,National,Portugal,Habitats,,1,0,0,0,0,1,0,0,0,0,0
WFD03,Ports ,Port and harbour infrastructure,Conceptual measure: Development of a port and fjord action plan based on a hydro numerical model (together with the port city),not specified,WFD (Directive 2000/60/EC),legislation/regulation,Coastal,National,Germany,Habitats,,1,0,0,0,1,1,1,0,0,0,0
WFD04,Traffic,Navigation dredging,Beneficially use dredged material for habitat enhancement or creation,not specified,WFD (Directive 2000/60/EC),technical measure,Coastal,National,Germany,Habitats,,1,0,0,0,0,1,0,0,0,0,0
WFD05,Ports ,Port and harbour infrastructure,"Measures in general aiming at reaching GEP e.g. measures in relation to sewage and nutrient.

Specific measures can be set in the regulation of the use/activity due to national legislation.",not specified,WFD (Directive 2000/60/EC),legislation/regulation,Coastal,National,Denmark,Habitats,,0,0,0,0,1,1,1,0,0,0,0
WFD06,Traffic,Navigation dredging,"Measures in general aiming at reaching GEP e.g. measures in relation to sewage and nutrient.

Specific measures can be set in the regulation of the use/activity due to national legislation.",not specified,WFD (Directive 2000/60/EC),legislation/regulation,Coastal,National,Denmark,Habitats,,0,0,0,0,0,1,1,0,0,0,0
WFD07,Traffic,Navigation dredging,"hymo1, hymo2, hymo4, hymo5, hymo6, hymo7, hymo8,  hymo9, hymo10, hymoS2, hymoS4, hymoS5, hymoS6",not specified,WFD (Directive 2000/60/EC),not specified,Coastal,National,Croatia,Habitats,,1,0,0,0,0,1,1,0,0,0,0
WFD08,Ports ,Port and harbour infrastructure,"hymo1, hymo2, hymo4, hymo5, hymo6, hymo7, hymo8,  hymo9, hymo10, hymoS2, hymoS4, hymoS5, hymoS6",not specified,WFD (Directive 2000/60/EC),not specified,Coastal,National,Croatia,Habitats,,1,0,0,0,1,1,1,0,0,0,0
WFD09,Ports and traffic,"Navigation, ports and harbours use",Avoid the need to dredge (e.g. minimise under-keel clearance; use fluid mud navigation; flow manipulation or training works),not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,0,0,0,1,1,0,0,0,0
WFD10,Ports and traffic,"Navigation, ports and harbours use",Site selection (e.g. avoid sensitive sites) (dredged material disposal),not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,1,0,0,0,0,1,1,0,0,0,0
WFD11,Ports and traffic,"Navigation, ports and harbours use",Prepare a dredging / disposal strategy (e.g. consider frequency and quantity of dredging; phasing; forward planning),not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,0,0,0,1,1,0,0,0,0
WFD12,Ports and traffic,"Navigation, ports and harbours use",Flow manipulation (e.g. construct structures to normalise flow; realign frontage),not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,0,1,0,1,1,0,0,0,0
WFD13,Ports and traffic,"Navigation, ports and harbours use",Manage disturbance (e.g. confine disturbance; dispose over wider area; disposal method or rate),not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,1,0,0,1,1,0,0,0,0
WFD14,Ports and traffic,"Navigation, ports and harbours use",Modify channel (e.g. deepen; realign channel),not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,0,0,0,1,0,0,0,0,1
WFD15,Ports and traffic,"Navigation, ports and harbours use",Modify structure or reclamation (e.g. construct culverts in breakwaters; reduce wave reflection; increase wave absorption; replace with environmentally friendly materials or design; compensatory dredging),not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,1,0,0,1,1,1,0,0,0
WFD16,Ports and traffic,"Navigation, ports and harbours use","Modify vessel design (e.g. shallower draft, environmentally friendly vessel design)",not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,0,0,0,1,0,0,0,0,1
WFD17,Ports and traffic,"Navigation, ports and harbours use","Reduce impact of dredging (e.g. dredge smaller area, shallower depth; choice of dredger type)",not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,0,0,0,1,1,1,0,0,0
WFD18,Ports and traffic,"Navigation, ports and harbours use",Remove obsolete structure,not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,1,0,0,1,1,0,0,0,0
WFD19,Ports and traffic,"Navigation, ports and harbours use",Alter timing of dredging / disposal (e.g. seasonal or tidal restrictions),not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,0,0,0,1,1,1,0,0,0
WFD20,Ports and traffic,"Navigation, ports and harbours use","Sediment management (e.g. trickle recharge, sediment bypass; water column recharge; beneficial placement)",not specified,WFD (Directive 2000/60/EC),technical measure,Coastal and transitional,National,UK,Habitats,,0,0,0,0,0,1,1,0,0,0,0
WFD21,Ports and traffic,"Navigation, ports and harbours use",Vessel Management (e.g. traffic management; speed limits),not specified,WFD (Directive 2000/60/EC),legislation/regulation,Coastal and transitional,National,UK,Habitats,,1,0,0,0,0,1,0,0,0,0,1
WFD22,Traffic,Navigation dredging,"Monitoring, assessment and information before, during and after project
No dredging in specific periods:
seasonal or tidal restrictions
No dredging of heavily contaminated sediments
Environment impact assessment Selection of dredging equipment 
Dredging management plans",not specified,WFD (Directive 2000/60/EC),legislation/regulation,Transitional,National,Portugal,Habitats,,1,0,1,0,0,1,1,1,0,0,0
WFD23,Ports ,Port and harbour infrastructure,Abandoned harbours are used to create freshwater tidal wetlands.,not specified,WFD (Directive 2000/60/EC),technical measure,Transitional,National,Netherlands,Habitats,,0,0,0,0,0,0,1,0,0,0,0
WFD24,Traffic,Navigation dredging,"Reopening polders -> tidal wetland rehabilitation (Western Scheldt). Rehabilitation of tidal wetlands with dredged material (pilot in Waddensea and Eems-Dollard). See for Western Scheldt TIDE Program and report page 57, attached.",not specified,WFD (Directive 2000/60/EC),technical measure,Transitional,National,Netherlands,Habitats,,1,0,0,0,1,1,1,0,0,0,0
WFD25,Traffic,Navigation dredging,For the capital dredging Environmental impact assessment (EIA) must be done,not specified,WFD (Directive 2000/60/EC),legislation/regulation,Transitional,National,Lithuania,Habitats,,0,0,0,0,0,1,1,0,0,0,0
WFD26,Traffic,Navigation dredging,It is forbidden to dredge on the fish migration season (with exceptions),not specified,WFD (Directive 2000/60/EC),legislation/regulation,Transitional,National,Lithuania,Habitats,,1,0,0,0,0,1,0,0,0,0,0
WFD27,Traffic,Navigation dredging,For the capital dredging Environmental impact assessment (EIA) must be done,not specified,WFD (Directive 2000/60/EC),legislation/regulation,Transitional,National,Lithuania,Habitats,,1,0,0,0,0,1,0,0,0,0,0
WFD28,Traffic,Navigation dredging,For the capital dredging Environmental impact assessment (EIA) must be done,not specified,WFD (Directive 2000/60/EC),legislation/regulation,Transitional,National,Lithuania,Habitats,,0,0,0,0,0,1,1,0,0,0,0
MSFD01,Ports,Not specified,The dumping of dredged material at sea must meet the sediments quality criteria,Adopted and Implemented 1a,MSFD (Directive 2008/56/EC),administrative,Not specified ,Not specified ,Belgium,Not specified,,0,0,0,0,0,0,0,1,0,0,0
