"CodeCatalogue","Country","Country","Measure Number","Measure name","Use or activity","Link to existing policies","KTMs it links to","Relevant targets","Descriptors it links to ","Relevant features from MSFD Annex III","Measure Impacts to","Spatial  scope_MSFD","Water body category","Spatial scope","Other (if applicable)","Origin of the measure","Nature of the measure","PORTS","SHIPPING","BOTH","Sector","accident management","administrative","air pollution","anchoring/mooring","awareness raising","ballast waters","construction","dredging","EU policies","hull fouling","international agreements","legislation/regulation","maintenence","marine litter","navigation","NIS","noise","pollution","regional sea convention","PSSA/ZMES","technical measures","waste management","water pollution","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TEST",1,"1b (not related to WFD)","1b (related to WFD)",2,"2a","2b","unknown","TEST","Status Resume","Status (Text)"
"MSFD01","BE","Belgium","Measure 5B","The dumping of dredged material at sea must meet the sediments quality criteria","Not specified","Not specified","Not specified ","Not specified ","D8","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD02","BE","Belgium","Measure 6D","New dumping/spillage area for the dredged materials","Not specified","Not specified","Not specified ","Not specified ","D1, D4, D6","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD03","BE","Belgium","Measure 6F","Increased shipping security through studying the possibility of the routing system of additional ships (IMO), reassessment/increase of Westpit2 and fix tug station","Not specified","Not specified","Not specified ","Not specified ","D8","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD04","BE","Belgium","Measure 7A","Ban on high speed ships traffic and exercises with helicopter at less than 500 foots in the SPA-O1 and SPA-O2 from December 1st to March 15th","Not specified","Not specified","Not specified ","Not specified ","D1","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","administrative",0,1,0,"Traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD05","BE","Belgium","Measure 7C","Ban of activities in the special protection areas: civil construction, industrial activities and commercial and advertising companies activities","Not specified","Not specified","Not specified ","Not specified ","D1, D4, D6","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD06","BE","Belgium","Measure 7D","The dredged material and inert natural material dumping within the former area of the “Trapegeer Stroombank”","Not specified","Not specified","Not specified ","Not specified ","D1, D4, D6","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","not specified",1,0,0,"Ports",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD07","BE","Belgium","Measure 12","Ban of sailing (including for fisheries) within the wind farm area(no measure about preserving the seabed, but positive side effect for D1, D4, and D6)","Not specified","Not specified","Not specified","Not specified ","D1, D4, D6, D8","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","administrative",0,1,0,"Traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,4,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD08","BE","Belgium","Measure 13","Ban of the voluntary (except in the case of an authorization) and involuntary introduction of non-indigenous species through ballast waters, regulated by the law of the 20/01/1999 and the RD of the 21/12/2001","Not specified","Not specified","Not specified","Not specified ","D2","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","administrative",0,1,0,"Traffic",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD09","BE","Belgium","Measure 14A","Measures against clogging (IMO directives)","Not specified","Not specified","Not specified","Not specified ","D2","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD10","BE","Belgium","Measure 14B","Ban of the use of TBT (International agreement of the IMO about the control of the anti-fouling on ships, Directive 2002/62/EC, Regulation 782/2003)","Not specified","Not specified","Not specified","Not specified ","D8","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","administrative",0,1,0,"Traffic",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
