"CodeCatalogue","Sector","Use or Activity","Nature of physical modification ","Effect on hydromorphology","Ecological impacts","GEP Mitigation measure/s","Country","Water body category","Status","Origin of the measure","Nature of the measure","Spatial scope","Measure impacts to","Measure Impacts to (further details) ","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"WFD01","Traffic","Navigation dredging","Dredging of navigation channels","Morphology:
Changes in seabed structure and substrate
Depth variation

Hydrology:
Changes in depth of water column Changes in water circulation and residence time","Loss of habitat
Alteration of key species and/or life stages 
Changes in composition and abundance of species
Decrease in water quality
Release of dangerous substances

(benthic invertebrates, macroalgae, angiosperms, fish)","Monitoring, assessment and information before, during and after project
No dredging in specific periods:
seasonal or tidal restrictions 
No dredging of heavily contaminated sediments 
Environment impact assessment Selection of dredging equipment 
Dredging Management Plans","Portugal","Coastal","not specified","WFD (Directive 2000/60/EC)","legislation/regulation","National","Habitats","Not specified",1,0,0,0,0,1,1,1,0,0,0,4
"WFD02","Ports ","Port and harbour infrastructure","Jetties built to protect harbour entrance","Morphology:
Sediment deposition updrift and erosion downdrift of structures","Change to intertidal and shallow inshore habitat

(benthic invertebrates)","Sand bypassing: redistribution of sand built along the jetty","Portugal","Coastal","not specified","WFD (Directive 2000/60/EC)","technical measure","National","Habitats","Not specified",1,0,0,0,0,1,0,0,0,0,0,2
"WFD03","Ports ","Port and harbour infrastructure","Construction of quay walls and shore fortifications","Morphology (depth variation, loss of shallow water areas and substrate)
Change of hydrological conditions","Changes to / loss of shallow water habitats (macrophytes and benthic invertebrates)","Conceptual measure: Development of a port and fjord action plan based on a hydro numerical model (together with the port city)","Germany","Coastal","not specified","WFD (Directive 2000/60/EC)","legislation/regulation","National","Habitats","Not specified",1,0,0,0,1,1,1,0,0,0,0,4
"WFD04","Traffic","Navigation dredging","Dredging for navigational safety","Morphology (bed structure, substrate)","Changes to seabed or intertidal habitat (benthic invertebrates, angiosperms)","Beneficially use dredged material for habitat enhancement or creation","Germany","Coastal","not specified","WFD (Directive 2000/60/EC)","technical measure","National","Habitats","Not specified",1,0,0,0,0,1,0,0,0,0,0,2
"WFD05","Ports ","Port and harbour infrastructure","Port construction as a whole
(piers, quays, bulwarks etc.)","Depth, substrate, intertidal zone, currents.","Taking the e1tent of the physical impact into consideration it is assessed that achievement of GES in general is not possible in the designated HMWB.","Measures in general aiming at reaching GEP e.g. measures in relation to sewage and nutrient.

Specific measures can be set in the regulation of the use/activity due to national legislation.","Denmark","Coastal","not specified","WFD (Directive 2000/60/EC)","legislation/regulation","National","Habitats","Not specified",0,0,0,0,1,1,1,0,0,0,0,3
"WFD06","Traffic","Navigation dredging","Dredging and removal of sediment from navigation channel","Depth, substrate, currents.","Taking the e1tent of the physical impact into consideration it is assessed that achievement of GES in general is not possible in the designated HMWB.","Measures in general aiming at reaching GEP e.g. measures in relation to sewage and nutrient.

Specific measures can be set in the regulation of the use/activity due to national legislation.","Denmark","Coastal","not specified","WFD (Directive 2000/60/EC)","legislation/regulation","National","Habitats","Not specified",0,0,0,0,0,1,1,0,0,0,0,2
"WFD07","Traffic","Navigation dredging","Dredging for navigational safety","Morphology:
- bed structure (e.g. bathymetry changes)
- bed substrate

Hydrology:
-water quality (e.g. turbidity)","Changes to seabed or intertidal habitat (benthic communities(invertebrates, angiosperms)","hymo1, hymo2, hymo4, hymo5, hymo6, hymo7, hymo8,  hymo9, hymo10, hymoS2, hymoS4, hymoS5, hymoS6","Croatia","Coastal","not specified","WFD (Directive 2000/60/EC)","not specified","National","Habitats","Not specified",1,0,0,0,0,1,1,0,0,0,0,3
"WFD08","Ports ","Port and harbour infrastructure","Non- or semi permeable protection structures (concrete, stone or synthetic)","Morphology:
- depth variation (i.e. loss of natural gradient)
-  intertidal zone structure
- bed structure (e.g. bathymetry changes)
- bed substrate

Hydrology:
-variation of currents and waves
- water quality (e.g. turbidity)","Changes to / loss of intertidal habitat (benthic communities: macroalgae, invertebrates, angiosperms)","hymo1, hymo2, hymo4, hymo5, hymo6, hymo7, hymo8,  hymo9, hymo10, hymoS2, hymoS4, hymoS5, hymoS6","Croatia","Coastal","not specified","WFD (Directive 2000/60/EC)","not specified","National","Habitats","Not specified",1,0,0,0,1,1,1,0,0,0,0,4
"WFD09","Ports and traffic","Navigation, ports and harbours use","Operations and maintenance: Maintenance dredging; dredged material disposal; reclamation and capital dredging","Removal of sediment or re‐
deposition of disturbed sediment;
Increased suspended sediment in water column; change in flows; change in wave propagation; change in sediment transport","Direct or indirect habitat loss or change; reduced water quality; Smothering due to deposition of sediment; direct habitat loss or change due to disposal.","Avoid the need to dredge (e.g. minimise under-keel clearance; use fluid mud navigation; flow manipulation or training works)","UK","Coastal and transitional","not specified","WFD (Directive 2000/60/EC)","technical measure","National","Habitats","Not specified",0,0,0,0,0,1,1,0,0,0,0,2
"WFD10","Ports and traffic","Navigation, ports and harbours use","Operations and maintenance
Dredged material disposal","Alteration of estuarine processes; Alteration of natural sediment dynamics; Alteration of bathymetry. Disturbance due to
deposition of re‐suspended
sediment; increased suspended
sediment in water column.","Direct habitat loss or change due to disposal. Smothering due to deposition of sediment.","Site selection (e.g. avoid sensitive sites) (dredged material disposal)","UK","Coastal and transitional","not specified","WFD (Directive 2000/60/EC)","technical measure","National","Habitats","Not specified",1,0,0,0,0,1,1,0,0,0,0,3
